"Archivo","Lineas"
"src\features\usuarios\lib\styles.ts","31"
"src\routes\notFound\styles.ts","29"
"src\features\parqueaderos\components\map\MapRoadBackground.tsx","27"
"src\features\incidentes\lib\styles.ts","26"
"src\services\core\firebase.ts","25"
"src\vite-env.d.ts","25"
"src\features\roles\lib\helpers.ts","25"
"src\services\api\catalogos.ts","23"
"src\features\dashboard\components\OcupacionPanel.tsx","23"
"src\App.tsx","22"
"src\features\landing\hooks\useReveal.ts","22"
"src\components\shared\StatusBadge.test.tsx","21"
"src\components\shared\Toaster.tsx","21"
"src\features\usuarios\hooks\useUsuariosData.ts","20"
"src\features\landing\components\Reveal.tsx","20"
"src\components\shared\ModalHeader.tsx","20"
"src\test\queryWrapper.tsx","20"
"src\features\landing\hooks\useCountUp.ts","19"
"src\layouts\components\SidebarWatermark.tsx","18"
"src\hooks\useMobile.ts","17"
"src\utils\cn.test.ts","16"
"src\components\shared\Banner.tsx","16"
"src\features\reservas\lib\constants.tsx","14"
"src\layouts\lib\sidebarTheme.ts","13"
"src\App.test.tsx","10"
"src\features\dashboard\hooks\useClock.ts","10"
"src\features\usuarios\hooks\useUsuariosPage.ts","10"
"src\features\auth\hooks\useAnimated.ts","10"
"src\features\conductores\hooks\useVehiculos.ts","9"
"src\features\parqueaderos\hooks\useCeldas.ts","9"
"src\features\roles\hooks\useRoles.ts","9"
"src\features\conductores\hooks\useConductores.ts","9"
"src\features\incidentes\hooks\useIncidentes.ts","9"
"src\features\usuarios\hooks\useUsuarios.ts","9"
"src\features\reservas\hooks\useReservas.ts","9"
"src\features\controlSalida\hooks\useControlSalida.ts","9"
"src\components\shared\index.ts","8"
"src\features\incidentes\hooks\useIncidentesPage.ts","8"
"src\features\conductores\lib\styles.ts","8"
"src\features\conductores\hooks\useTiposUsuario.ts","6"
"src\components\data\index.ts","6"
"src\main.tsx","5"
"src\utils\cn.ts","5"
"src\features\auth\index.ts","4"
"src\styles\tailwind.css","3"
"src\features\conductores\index.ts","3"
"src\styles\index.css","3"
"src\features\parqueaderos\index.ts","3"
"src\features\reservas\index.ts","3"
"src\features\controlSalida\index.ts","2"
"src\features\roles\index.ts","2"
"src\features\usuarios\index.ts","2"
"coverage\prettify.js","2"
"src\features\incidentes\index.ts","2"
"coverage\prettify.css","1"
"src\features\perfil\index.ts","1"
"src\features\landing\index.ts","1"
"src\features\dashboard\index.ts","1"
"src\components\scanner\index.ts","1"
"src\styles\fonts.css","0"
